,Unnamed: 0,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,0,CHEMBL281957,CCN(CC)C/C=C/c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C,active,484.4310000000002,6.540920000000006,2.0,6.0,6.0
1,1,CHEMBL437885,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC1,inactive,386.8580000000003,4.770300000000004,1.0,5.0,5.0
2,2,CHEMBL207815,COCCN1CC(C(N)=O)(N(C)Cc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C1,inactive,502.97800000000024,2.7924000000000007,2.0,8.0,5.0
3,3,CHEMBL425601,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C(C)C)C1,inactive,486.9790000000004,3.554400000000003,2.0,7.0,5.0
4,4,CHEMBL207718,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C)C1,inactive,458.92500000000035,2.775800000000001,2.0,7.0,5.0
5,5,CHEMBL383246,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C(C)C)CC1,inactive,515.0330000000004,4.334600000000004,2.0,7.0,5.0
6,6,CHEMBL207130,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C)CC1,inactive,486.97900000000044,3.5560000000000027,2.0,7.0,5.0
7,7,CHEMBL380889,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](CN(C)C)C(N)=O,inactive,460.9410000000003,3.0218000000000007,2.0,7.0,5.0
8,8,CHEMBL207445,COCC[C@@H](C(N)=O)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,inactive,461.9250000000001,3.4967000000000015,2.0,7.0,5.0
9,9,CHEMBL379905,COC[C@@H](C(N)=O)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,inactive,447.8980000000002,3.106600000000002,2.0,7.0,5.0
10,10,CHEMBL208286,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](CO)C(N)=O,inactive,433.87100000000027,2.4525,3.0,7.0,5.0
11,11,CHEMBL376967,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(CCN(C)C)[C@@H](C)C(N)=O,inactive,474.96800000000036,3.411900000000002,2.0,7.0,5.0
12,12,CHEMBL382823,COCCN(Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC)[C@@H](C)C(N)=O,inactive,461.92500000000024,3.4967000000000006,2.0,7.0,5.0
13,13,CHEMBL208048,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C(C)C)[C@@H](C)C(N)=O,inactive,445.9260000000003,4.258700000000004,2.0,6.0,5.0
14,14,CHEMBL378370,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1CCNC1=O,inactive,429.88300000000027,3.4948000000000023,2.0,6.0,5.0
15,15,CHEMBL380006,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@H](C)C(=O)N(C)C,inactive,445.9260000000003,4.083000000000004,1.0,6.0,5.0
16,16,CHEMBL211003,CNC(=O)[C@@H](C)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,inactive,431.89900000000017,3.740800000000002,2.0,6.0,5.0
17,17,CHEMBL207687,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](C)C(N)=O,inactive,417.87200000000024,3.480100000000002,2.0,6.0,5.0
18,18,CHEMBL208118,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@H](C)C(N)=O,inactive,417.87200000000024,3.480100000000002,2.0,6.0,5.0
19,19,CHEMBL379601,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)CC(N)=O,inactive,403.84500000000025,3.0916000000000015,2.0,6.0,5.0
20,20,CHEMBL380386,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN[C@H](C)C(N)=O,inactive,403.8450000000002,3.137900000000001,3.0,6.0,5.0
21,21,CHEMBL207037,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CC(C(N)=O)C1,inactive,415.8560000000003,3.0916000000000015,2.0,6.0,5.0
22,22,CHEMBL207246,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC1C(N)=O,inactive,415.8560000000003,3.2341000000000015,2.0,6.0,5.0
23,23,CHEMBL207674,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCOCC1C(N)=O,inactive,445.88200000000035,2.8606000000000007,2.0,7.0,5.0
24,24,CHEMBL206783,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC[C@@H]1C(N)=O,inactive,443.91000000000037,4.014300000000003,2.0,6.0,5.0
25,25,CHEMBL204420,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCN(C)CC1C(N)=O,inactive,458.92500000000035,2.7758000000000003,2.0,7.0,5.0
26,26,CHEMBL377772,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@H]1CC(N)=O,inactive,443.91000000000037,4.014300000000003,2.0,6.0,5.0
